Key,repo,Path extension,Priority,Group,Repo Name,size,size_gb,folder,In Glacier,Size in Glacier,STATUS,Notes
0023_lewis_e_m_003_017,0023,,1,A,"Free Library of Philadelphia, Special Collections","25,775",0.025,lewis_e_m_003_017,0023_lewis_e_m_003_017,0.025,Fall 2019 batch,
0023_lewis_e_m_003_023,0023,,1,A,"Free Library of Philadelphia, Special Collections","25,820",0.025,lewis_e_m_003_023,0023_lewis_e_m_003_023,0.025,Fall 2019 batch,
0023_lewis_e_m_027_018,0023,,1,A,"Free Library of Philadelphia, Special Collections","26,936",0.026,lewis_e_m_027_018,0023_lewis_e_m_027_018,0.026,Fall 2019 batch,
0023_lewis_e_m_026_019,0023,,1,A,"Free Library of Philadelphia, Special Collections","27,113",0.026,lewis_e_m_026_019,0023_lewis_e_m_026_019,0.026,Fall 2019 batch,
0023_lewis_t212,0023,,1,A,"Free Library of Philadelphia, Special Collections","27,447",0.026,lewis_t212,0023_lewis_t212,0.026,Fall 2019 batch,
0023_lewis_e_m_005_012,0023,,1,A,"Free Library of Philadelphia, Special Collections","27,552",0.026,lewis_e_m_005_012,0023_lewis_e_m_005_012,0.026,Fall 2019 batch,
0023_lewis_e_m_024_030,0023,,1,A,"Free Library of Philadelphia, Special Collections","27,652",0.026,lewis_e_m_024_030,0023_lewis_e_m_024_030,0.026,Fall 2019 batch,
0023_lewis_e_m_008_002,0023,,1,A,"Free Library of Philadelphia, Special Collections","27,871",0.027,lewis_e_m_008_002,0023_lewis_e_m_008_002,0.027,Fall 2019 batch,
0023_lewis_e_m_024_024,0023,,1,A,"Free Library of Philadelphia, Special Collections","27,880",0.027,lewis_e_m_024_024,0023_lewis_e_m_024_024,0.027,Fall 2019 batch,
0023_lewis_e_m_077_002,0023,,1,A,"Free Library of Philadelphia, Special Collections","28,005",0.027,lewis_e_m_077_002,0023_lewis_e_m_077_002,0.027,Fall 2019 batch,
0023_lewis_e_m_009_024,0023,,1,A,"Free Library of Philadelphia, Special Collections","28,073",0.027,lewis_e_m_009_024,0023_lewis_e_m_009_024,0.027,Fall 2019 batch,
0023_lewis_e_m_024_010,0023,,1,A,"Free Library of Philadelphia, Special Collections","28,261",0.027,lewis_e_m_024_010,0023_lewis_e_m_024_010,0.027,Fall 2019 batch,
0023_lewis_e_m_011_029,0023,,1,A,"Free Library of Philadelphia, Special Collections","28,365",0.027,lewis_e_m_011_029,0023_lewis_e_m_011_029,0.027,Fall 2019 batch,
0023_lewis_t208,0023,,1,A,"Free Library of Philadelphia, Special Collections","28,481",0.027,lewis_t208,0023_lewis_t208,0.027,Fall 2019 batch,
0023_lewis_t218,0023,,1,A,"Free Library of Philadelphia, Special Collections","28,535",0.027,lewis_t218,0023_lewis_t218,0.027,Fall 2019 batch,
0023_lewis_e_m_008_001,0023,,1,A,"Free Library of Philadelphia, Special Collections","28,566",0.027,lewis_e_m_008_001,0023_lewis_e_m_008_001,0.027,Fall 2019 batch,
0023_lewis_e_m_011_015a,0023,,1,A,"Free Library of Philadelphia, Special Collections","28,567",0.027,lewis_e_m_011_015a,0023_lewis_e_m_011_015a,0.027,Fall 2019 batch,
0023_lewis_e_m_032_012,0023,,1,A,"Free Library of Philadelphia, Special Collections","28,767",0.027,lewis_e_m_032_012,0023_lewis_e_m_032_012,0.027,Fall 2019 batch,
0023_lewis_e_m_009_023,0023,,1,A,"Free Library of Philadelphia, Special Collections","28,932",0.028,lewis_e_m_009_023,0023_lewis_e_m_009_023,0.028,Fall 2019 batch,
0023_lewis_e_m_009_018,0023,,1,A,"Free Library of Philadelphia, Special Collections","29,068",0.028,lewis_e_m_009_018,0023_lewis_e_m_009_018,0.028,Fall 2019 batch,
0023_lewis_e_m_077_009,0023,,1,A,"Free Library of Philadelphia, Special Collections","29,632",0.028,lewis_e_m_077_009,0023_lewis_e_m_077_009,0.028,Fall 2019 batch,
0023_lewis_e_m_011_001a,0023,,1,A,"Free Library of Philadelphia, Special Collections","29,636",0.028,lewis_e_m_011_001a,0023_lewis_e_m_011_001a,0.028,Fall 2019 batch,
0023_lewis_e_m_012_019,0023,,1,A,"Free Library of Philadelphia, Special Collections","29,865",0.028,lewis_e_m_012_019,0023_lewis_e_m_012_019,0.028,Fall 2019 batch,
0023_lewis_e_m_012_004,0023,,1,A,"Free Library of Philadelphia, Special Collections","29,873",0.028,lewis_e_m_012_004,0023_lewis_e_m_012_004,0.028,Fall 2019 batch,
0023_lewis_e_m_012_021,0023,,1,A,"Free Library of Philadelphia, Special Collections","29,982",0.029,lewis_e_m_012_021,0023_lewis_e_m_012_021,0.029,Fall 2019 batch,
0023_lewis_e_m_003_013,0023,,1,A,"Free Library of Philadelphia, Special Collections","30,034",0.029,lewis_e_m_003_013,0023_lewis_e_m_003_013,0.029,Fall 2019 batch,
