Key,repo,Path extension,Priority,Group,Repo Name,size,size_gb,folder,STATUS,Notes
0023_lewis_t217,0023,,1,A,"Free Library of Philadelphia, Special Collections","34,093",0.033,lewis_t217,,
0023_lewis_e_m_003_019,0023,,1,A,"Free Library of Philadelphia, Special Collections","34,129",0.033,lewis_e_m_003_019,,
0023_lewis_e_m_032_028,0023,,1,A,"Free Library of Philadelphia, Special Collections","34,133",0.033,lewis_e_m_032_028,,
0023_lewis_e_m_013_014,0023,,1,A,"Free Library of Philadelphia, Special Collections","34,279",0.033,lewis_e_m_013_014,,
0023_lewis_e_m_023_024,0023,,1,A,"Free Library of Philadelphia, Special Collections","34,361",0.033,lewis_e_m_023_024,,
0023_lewis_t209,0023,,1,A,"Free Library of Philadelphia, Special Collections","34,568",0.033,lewis_t209,,
0023_lewis_e_m_019_014,0023,,1,A,"Free Library of Philadelphia, Special Collections","34,653",0.033,lewis_e_m_019_014,,
0023_lewis_t119,0023,,1,A,"Free Library of Philadelphia, Special Collections","34,800",0.033,lewis_t119,,
0023_lewis_e_m_019_013,0023,,1,A,"Free Library of Philadelphia, Special Collections","34,809",0.033,lewis_e_m_019_013,,
0023_lewis_t213,0023,,1,A,"Free Library of Philadelphia, Special Collections","34,897",0.033,lewis_t213,,
0023_lewis_e_m_019_010,0023,,1,A,"Free Library of Philadelphia, Special Collections","35,028",0.033,lewis_e_m_019_010,,
0023_lewis_e_m_013_012,0023,,1,A,"Free Library of Philadelphia, Special Collections","35,037",0.033,lewis_e_m_013_012,,
0023_lewis_e_m_016_016,0023,,1,A,"Free Library of Philadelphia, Special Collections","35,120",0.033,lewis_e_m_016_016,,
0023_lewis_e_m_016_020,0023,,1,A,"Free Library of Philadelphia, Special Collections","35,138",0.034,lewis_e_m_016_020,,
0023_lewis_e_m_012_010,0023,,1,A,"Free Library of Philadelphia, Special Collections","35,184",0.034,lewis_e_m_012_010,,
0023_lewis_e_m_009_019,0023,,1,A,"Free Library of Philadelphia, Special Collections","35,284",0.034,lewis_e_m_009_019,,
0023_lewis_e_m_026_004-005,0023,,1,A,"Free Library of Philadelphia, Special Collections","35,397",0.034,lewis_e_m_026_004-005,,
0023_lewis_e_m_001_014,0023,,1,A,"Free Library of Philadelphia, Special Collections","35,419",0.034,lewis_e_m_001_014,,
0023_lewis_e_m_013_013,0023,,1,A,"Free Library of Philadelphia, Special Collections","35,504",0.034,lewis_e_m_013_013,,
0023_lewis_e_m_001_015,0023,,1,A,"Free Library of Philadelphia, Special Collections","35,629",0.034,lewis_e_m_001_015,,
0023_lewis_e_m_013_002,0023,,1,A,"Free Library of Philadelphia, Special Collections","35,631",0.034,lewis_e_m_013_002,,
0023_lewis_t265,0023,,1,A,"Free Library of Philadelphia, Special Collections","35,638",0.034,lewis_t265,,
0023_lewis_e_m_028_006,0023,,1,A,"Free Library of Philadelphia, Special Collections","35,659",0.034,lewis_e_m_028_006,,
0023_lewis_e_m_043_022a,0023,,1,A,"Free Library of Philadelphia, Special Collections","35,732",0.034,lewis_e_m_043_022a,,
0023_lewis_e_m_019_002,0023,,1,A,"Free Library of Philadelphia, Special Collections","35,896",0.034,lewis_e_m_019_002,,
0023_lewis_e_m_019_003,0023,,1,A,"Free Library of Philadelphia, Special Collections","35,961",0.034,lewis_e_m_019_003,,
0023_lewis_e_m_077_007,0023,,1,A,"Free Library of Philadelphia, Special Collections","36,122",0.034,lewis_e_m_077_007,,
0023_lewis_e_m_033_012,0023,,1,A,"Free Library of Philadelphia, Special Collections","36,126",0.034,lewis_e_m_033_012,,
0023_lewis_e_m_016_004,0023,,1,A,"Free Library of Philadelphia, Special Collections","36,226",0.035,lewis_e_m_016_004,,
0023_lewis_e_m_077_003,0023,,1,A,"Free Library of Philadelphia, Special Collections","36,268",0.035,lewis_e_m_077_003,,
0023_lewis_e_m_019_024,0023,,1,A,"Free Library of Philadelphia, Special Collections","36,308",0.035,lewis_e_m_019_024,,
0023_lewis_e_m_012_007,0023,,1,A,"Free Library of Philadelphia, Special Collections","36,482",0.035,lewis_e_m_012_007,,
