repo,Path extension,Priority,Group,Repo Name,size,size_gb,folder,STATUS,Notes
0001,,2,2_LJS,"University of Pennsylvania Libraries, Lawrence J. Schoenberg Manuscripts",3118035,2.974,ljs56,,
0001,,2,2_LJS,"University of Pennsylvania Libraries, Lawrence J. Schoenberg Manuscripts",3151893,3.006,ljs221,,
0001,,2,2_LJS,"University of Pennsylvania Libraries, Lawrence J. Schoenberg Manuscripts",3222938,3.074,ljs361,,
0001,,2,2_LJS,"University of Pennsylvania Libraries, Lawrence J. Schoenberg Manuscripts",3281260,3.129,ljs225,,
0001,,2,2_LJS,"University of Pennsylvania Libraries, Lawrence J. Schoenberg Manuscripts",3292905,3.14,ljs433,,
0001,,2,2_LJS,"University of Pennsylvania Libraries, Lawrence J. Schoenberg Manuscripts",3305621,3.152,ljs59,,
0001,,2,2_LJS,"University of Pennsylvania Libraries, Lawrence J. Schoenberg Manuscripts",3331127,3.177,ljs191,,
0001,,2,2_LJS,"University of Pennsylvania Libraries, Lawrence J. Schoenberg Manuscripts",3338345,3.184,ljs204,,
0001,,2,2_LJS,"University of Pennsylvania Libraries, Lawrence J. Schoenberg Manuscripts",3429312,3.27,ljs384,,
0001,,2,2_LJS,"University of Pennsylvania Libraries, Lawrence J. Schoenberg Manuscripts",3511895,3.349,ljs188,,
0001,,2,2_LJS,"University of Pennsylvania Libraries, Lawrence J. Schoenberg Manuscripts",3529011,3.366,ljs235,,
0001,,2,2_LJS,"University of Pennsylvania Libraries, Lawrence J. Schoenberg Manuscripts",3530612,3.367,ljs346,,
0001,,2,2_LJS,"University of Pennsylvania Libraries, Lawrence J. Schoenberg Manuscripts",3546457,3.382,ljs54,,
0001,,2,2_LJS,"University of Pennsylvania Libraries, Lawrence J. Schoenberg Manuscripts",3566599,3.401,ljs231,,
0001,,2,2_LJS,"University of Pennsylvania Libraries, Lawrence J. Schoenberg Manuscripts",3658170,3.489,ljs294,,
0001,,2,2_LJS,"University of Pennsylvania Libraries, Lawrence J. Schoenberg Manuscripts",3772377,3.598,ljs102,,
0001,,2,2_LJS,"University of Pennsylvania Libraries, Lawrence J. Schoenberg Manuscripts",3871211,3.692,ljs26,,
