size,folder
52158,lewis_e_m_014_002
45431,lewis_e_m_014_003
77660,lewis_e_m_014_004
68656,lewis_e_m_014_005
46372,lewis_e_m_014_006
48437,lewis_e_m_014_007
41363,lewis_e_m_014_008
56857,lewis_e_m_014_009
49059,lewis_e_m_014_010
41637,lewis_e_m_014_011
50741,lewis_e_m_014_012
43648,lewis_e_m_014_013
53611,lewis_e_m_014_014
48291,lewis_e_m_014_015
45247,lewis_e_m_014_016
133492,lewis_e_m_014_017
70960,lewis_e_m_015_001
112669,lewis_e_m_015_002
76737,lewis_e_m_015_003
74626,lewis_e_m_015_004
77532,lewis_e_m_015_005
144670,lewis_e_m_015_006
138235,lewis_e_m_015_007
23974,lewis_e_m_015_008
18023,lewis_e_m_015_009
24623,lewis_e_m_015_010
23252,lewis_e_m_015_011
23873,lewis_e_m_015_012
22036,lewis_e_m_015_013
23051,lewis_e_m_015_014
42843,lewis_e_m_016_001
134396,lewis_e_m_016_002
200364,lewis_e_m_016_003
36226,lewis_e_m_016_004
38840,lewis_e_m_016_005
66252,lewis_e_m_016_006
37734,lewis_e_m_016_007
310030,lewis_e_m_016_008-009
96800,lewis_e_m_016_010
88217,lewis_e_m_016_011
36738,lewis_e_m_016_012
104497,lewis_e_m_016_013
53702,lewis_e_m_016_014
62907,lewis_e_m_016_015
35120,lewis_e_m_016_016
42194,lewis_e_m_016_017
39132,lewis_e_m_016_018
98062,lewis_e_m_016_019
35138,lewis_e_m_016_020
47048,lewis_e_m_016_021
40431,lewis_e_m_016_022
59754,lewis_e_m_016_023
100728,lewis_e_m_016_024-025
338678,lewis_e_m_016_026-027
93516,lewis_e_m_016_028-029
207996,lewis_e_m_016_030
236268,lewis_e_m_016_031
43429,lewis_e_m_016_032
47451,lewis_e_m_016_033
135658,lewis_e_m_017_001
42963,lewis_e_m_017_002
73108,lewis_e_m_017_002a
54379,lewis_e_m_017_003
83702,lewis_e_m_017_003a
161672,lewis_e_m_017_004
140228,lewis_e_m_017_005
192988,lewis_e_m_017_006
110192,lewis_e_m_017_007
38510,lewis_e_m_017_008
154721,lewis_e_m_017_009
97834,lewis_e_m_017_010
65787,lewis_e_m_017_011
79123,lewis_e_m_017_012
153167,lewis_e_m_017_013
80585,lewis_e_m_017_014
55357,lewis_e_m_017_015
57515,lewis_e_m_017_016
59132,lewis_e_m_017_017
59745,lewis_e_m_017_018
60604,lewis_e_m_017_019
60376,lewis_e_m_017_020
60888,lewis_e_m_017_021
67112,lewis_e_m_017_022
79259,lewis_e_m_017_023
568627,lewis_e_m_018_001-003
110558,lewis_e_m_018_004
590487,lewis_e_m_018_005-008
191488,lewis_e_m_018_009
81984,lewis_e_m_018_010
126938,lewis_e_m_018_011
87029,lewis_e_m_019_001
35896,lewis_e_m_019_002
35961,lewis_e_m_019_003
57259,lewis_e_m_019_004
44132,lewis_e_m_019_005
33996,lewis_e_m_019_006
33054,lewis_e_m_019_007
42661,lewis_e_m_019_008
43648,lewis_e_m_019_009
35028,lewis_e_m_019_010
55265,lewis_e_m_019_011
30705,lewis_e_m_019_012
34809,lewis_e_m_019_013
34653,lewis_e_m_019_014
30349,lewis_e_m_019_015
50056,lewis_e_m_019_016
32232,lewis_e_m_019_017
32515,lewis_e_m_019_018
60174,lewis_e_m_019_019
188746,lewis_e_m_019_020
41783,lewis_e_m_019_021
59142,lewis_e_m_019_022
86408,lewis_e_m_019_023
36308,lewis_e_m_019_024
38008,lewis_e_m_019_025
39544,lewis_e_m_020_001
50631,lewis_e_m_020_002-003
58282,lewis_e_m_020_004
52779,lewis_e_m_020_005
51033,lewis_e_m_020_006
77798,lewis_e_m_020_007
97441,lewis_e_m_020_008
38521,lewis_e_m_020_009
48035,lewis_e_m_020_010
39736,lewis_e_m_020_011
40925,lewis_e_m_020_012
43511,lewis_e_m_020_013
38063,lewis_e_m_020_014
49498,lewis_e_m_020_015
46500,lewis_e_m_020_016
46691,lewis_e_m_020_017
52670,lewis_e_m_020_018
40613,lewis_e_m_020_019
49892,lewis_e_m_020_020
45229,lewis_e_m_020_021
45303,lewis_e_m_020_022
42661,lewis_e_m_021_001
429360,lewis_e_m_021_002-003
2849324,lewis_e_m_021_004-028
140612,lewis_e_m_021_029
43300,lewis_e_m_022_001
137915,lewis_e_m_022_002-004
99929,lewis_e_m_022_005
54855,lewis_e_m_022_006
386628,lewis_e_m_022_007-016
112376,lewis_e_m_022_017
198451,lewis_e_m_022_018-021
220839,lewis_e_m_023_001-006
140555,lewis_e_m_023_007a-d
48292,lewis_e_m_023_008
91399,lewis_e_m_023_009
42122,lewis_e_m_023_010
23398,lewis_e_m_023_011
80338,lewis_e_m_023_012
51098,lewis_e_m_023_013
99433,lewis_e_m_023_014
90493,lewis_e_m_023_015
123711,lewis_e_m_023_016
52862,lewis_e_m_023_017
163964,lewis_e_m_023_018
80897,lewis_e_m_023_019
73904,lewis_e_m_023_020
97409,lewis_e_m_023_021
80750,lewis_e_m_023_022
82468,lewis_e_m_023_023
34361,lewis_e_m_023_024
989080,lewis_e_m_024_001-004
138555,lewis_e_m_024_005
68163,lewis_e_m_024_006
59763,lewis_e_m_024_007
49096,lewis_e_m_024_008
48163,lewis_e_m_024_009
28261,lewis_e_m_024_010
25391,lewis_e_m_024_011
59388,lewis_e_m_024_012
157659,lewis_e_m_024_013
53319,lewis_e_m_024_014
43438,lewis_e_m_024_015
58310,lewis_e_m_024_016
93793,lewis_e_m_024_017
42761,lewis_e_m_024_018
95109,lewis_e_m_024_019
82148,lewis_e_m_024_020
78583,lewis_e_m_024_021
144935,lewis_e_m_024_022
120219,lewis_e_m_024_023
27880,lewis_e_m_024_024
68081,lewis_e_m_024_025
55988,lewis_e_m_024_026
133592,lewis_e_m_024_027
134049,lewis_e_m_024_028
127257,lewis_e_m_024_029
27652,lewis_e_m_024_030
33008,lewis_e_m_024_031
92623,lewis_e_m_025_001
98436,lewis_e_m_025_002
40565,lewis_e_m_025_003
73245,lewis_e_m_025_004
205245,lewis_e_m_025_005
77213,lewis_e_m_025_006
74772,lewis_e_m_025_007
50321,lewis_e_m_025_007a
57852,lewis_e_m_025_008
86180,lewis_e_m_025_009
24617,lewis_e_m_025_010
78336,lewis_e_m_025_011
90091,lewis_e_m_025_012
41271,lewis_e_m_025_013
41335,lewis_e_m_025_014
41838,lewis_e_m_025_015
131041,lewis_e_m_025_016
97614,lewis_e_m_025_017
51719,lewis_e_m_025_018
38684,lewis_e_m_025_019
57588,lewis_e_m_025_020
180109,lewis_e_m_025_021
45742,lewis_e_m_025_022
117294,lewis_e_m_025_022a
88958,lewis_e_m_025_022b
90201,lewis_e_m_025_023
147869,lewis_e_m_025_024
77715,lewis_e_m_025_025
43703,lewis_e_m_025_026
117952,lewis_e_m_025_026a
69479,lewis_e_m_025_026b
38255,lewis_e_m_025_027
56545,lewis_e_m_025_028
92898,lewis_e_m_025_029
74991,lewis_e_m_025_030
79598,lewis_e_m_025_031
39699,lewis_e_m_025_032
117175,lewis_e_m_025_033
50430,lewis_e_m_026_001
140246,lewis_e_m_026_002
129131,lewis_e_m_026_003
35397,lewis_e_m_026_004-005
39662,lewis_e_m_026_007
160589,lewis_e_m_026_008-009
92706,lewis_e_m_026_010
42167,lewis_e_m_026_011
63127,lewis_e_m_026_012
186187,lewis_e_m_026_013
148253,lewis_e_m_026_014
91325,lewis_e_m_026_015
151928,lewis_e_m_026_016
294280,lewis_e_m_026_017-018
27113,lewis_e_m_026_019
349543,lewis_e_m_026_020-029
40805,lewis_e_m_026_030
42990,lewis_e_m_026_031
168131,lewis_e_m_026_032-033
139688,lewis_e_m_027_001
66335,lewis_e_m_027_002
80787,lewis_e_m_027_003
184285,lewis_e_m_027_004
78053,lewis_e_m_027_005
24114,lewis_e_m_027_006
41034,lewis_e_m_027_007
145182,lewis_e_m_027_008
97118,lewis_e_m_027_009-010
177503,lewis_e_m_027_011
123628,lewis_e_m_027_012
128235,lewis_e_m_027_013
44278,lewis_e_m_027_014
121919,lewis_e_m_027_015
107943,lewis_e_m_027_016
21926,lewis_e_m_027_017
26936,lewis_e_m_027_018
57167,lewis_e_m_027_019
106618,lewis_e_m_027_020
123500,lewis_e_m_027_021
207326,lewis_e_m_027_022-023
33078,lewis_e_m_027_024
39010,lewis_e_m_027_025
23155,lewis_e_m_027_026
133685,lewis_e_m_027_027-029
134634,lewis_e_m_028_001
108903,lewis_e_m_028_002
275301,lewis_e_m_028_003-005
35659,lewis_e_m_028_006
88300,lewis_e_m_028_007
38932,lewis_e_m_028_008
150703,lewis_e_m_028_009
123326,lewis_e_m_028_010
68785,lewis_e_m_028_011
72185,lewis_e_m_028_012
51783,lewis_e_m_028_013
59681,lewis_e_m_028_014
122249,lewis_e_m_028_015
39178,lewis_e_m_028_016
44781,lewis_e_m_028_017
139853,lewis_e_m_028_018
122586,lewis_e_m_028_019
62560,lewis_e_m_028_020
278652,lewis_e_m_028_021-023
66974,lewis_e_m_028_024
140676,lewis_e_m_028_025
119740,lewis_e_m_028_026-027
141708,lewis_e_m_028_028
88940,lewis_e_m_029_001
74571,lewis_e_m_029_002
78081,lewis_e_m_029_003
43721,lewis_e_m_029_004
66975,lewis_e_m_029_005
156992,lewis_e_m_029_006
106536,lewis_e_m_029_007
165109,lewis_e_m_029_008
98748,lewis_e_m_029_008a
52678,lewis_e_m_029_009
121929,lewis_e_m_029_009a
116371,lewis_e_m_029_010
77733,lewis_e_m_029_011
77386,lewis_e_m_029_011a
75396,lewis_e_m_029_012a-b
138950,lewis_e_m_029_013-015
90594,lewis_e_m_029_016
66179,lewis_e_m_029_017
36802,lewis_e_m_029_018
106627,lewis_e_m_029_019
106651,lewis_e_m_030_001-002
83017,lewis_e_m_030_003
201326,lewis_e_m_030_004-006
55193,lewis_e_m_030_007
74607,lewis_e_m_030_008
79872,lewis_e_m_030_009
312632,lewis_e_m_030_010-014
173883,lewis_e_m_030_015
105365,lewis_e_m_031_001
150694,lewis_e_m_031_002
96688,lewis_e_m_031_003-004
45750,lewis_e_m_031_005
48009,lewis_e_m_031_006
51400,lewis_e_m_031_007
61820,lewis_e_m_031_008
33091,lewis_e_m_031_009
109287,lewis_e_m_031_010
62496,lewis_e_m_031_011
250683,lewis_e_m_031_012
240835,lewis_e_m_031_013-014
63071,lewis_e_m_031_015
292553,lewis_e_m_031_016-017
165712,lewis_e_m_031_018a
144003,lewis_e_m_031_018b
820702,lewis_e_m_031_019-027
66042,lewis_e_m_031_028
132924,lewis_e_m_031_029
133052,lewis_e_m_031_034
132549,lewis_e_m_031_035
68410,lewis_e_m_031_036
47305,lewis_e_m_031_037
79927,lewis_e_m_032_001
51499,lewis_e_m_032_002
79296,lewis_e_m_032_003
58867,lewis_e_m_032_004
58373,lewis_e_m_032_005
65393,lewis_e_m_032_006
30358,lewis_e_m_032_007
123830,lewis_e_m_032_008
32159,lewis_e_m_032_009
53118,lewis_e_m_032_010
57003,lewis_e_m_032_011
28767,lewis_e_m_032_012
51728,lewis_e_m_032_013
217253,lewis_e_m_032_014
